mouse1d	mouse1e	mouse1f
21.5248	4.1633	9.7556
8.1513	6.4091	5.0517
11.3704	5.8909	5.6556
14.8111	10.193	5.1203
9.5129	13.0226	8.6538
6.0839	2.3941	12.7304
4.6087	10.9452	11.2039
4.9499	6.2167	9.183
5.0878	4.5673	8.6712
9.0417	12.4632	13.9487
3.6473	11.5044	11.8385
8.3566	5.9017	9.2442
7.6544	14.9807	11.866
15.374	12.2448	13.4918
7.4972	7.9351	6.9066
8.7437	7.2192	7.0849
6.3521	10.6164	9.3187
10.8383	15.9618	9.2686
6.441	11.7475	7.1121
9.975	18.3278	6.4602
9.6825	9.083	10.9002
4.3751	3.9332	4.598
3.1981	17.2654	7.053
1.1523	15.3969	8.3415
1.4146	13.6051	14.702
2.6519	7.7125	10.1195
1.0563	4.0354	12.8925
2.5953	11.3828	24.4231
4.5261	9.2625	5.7076
1.9772	23.2486	5.7481
1.371	10.0783	7.6758
1.2177	7.2725	11.7441
1.8702	7.2167	14.2998
6.7599	9.5588	4.8392
16.695	9.5349	8.8348
10.3211	7.2095	12.0134
10.1715	17.2078	9.5126
5.8844	17.567	16.3071
11.5247	23.1543	5.7301
4.1238	9.8707	15.1797
15.4042	8.7401	12.0987
3.1265	10.8212	5.5521
2.3782	9.0609	6.4743
4.2561	18.5883	17.1253
4.4648	5.1291	7.3148
3.3338	17.0981	27.1303
3.1597	12.8105	16.4033
13.6655	13.876	25.9398
4.1824	18.3373	8.0874
3.1121	13.9703	7.6217
5.8681	10.4974	14.1006
11.9377	7.7963	6.0402
9.4179	16.4703	7.3815
5.252	4.9863	9.5202
7.5513	8.8479	10.6142
18.9389	17.833	18.94
9.0768	7.3394	
7.3039	17.533	
18.4422	11.7656	
6.0055	20.1018	
4.9812	8.403	
7.009	13.6778	
3.8964	6.7037	
6.3722	15.175	
6.0702	4.8631	
15.3216	5.1472	
9.6207	12.7747	
9.6845	8.4168	
5.9858	5.8944	
7.9259	6.6817	
10.3925	24.1989	
7.5116	8.1986	
1.8796	5.6749	
1.6859	10.786	
5.8499	8.0237	
2.7021	5.3409	
4.3834	29.1065	
2.3245	5.334	
4.0729	14.4603	
2.7823	5.7621	
3.3325	11.3049	
2.6428	15.6361	
3.6783	8.8168	
7.0189	3.0409	
8.386	28.3339	
2.0893	9.9375	
1.9533	6.5168	
2.7705	4.1841	
3.3034	8.5371	
3.1811	17.2056	
2.2266	16.6367	
3.1606	6.5197	
2.3715	5.9273	
4.1123	4.0881	
2.2991	4.8503	
1.6542	3.785	
29.1486	5.7667	
6.8638	6.6381	
7.4057	1.9925	
6.4907	10.1199	
8.6599	7.3616	
11.1911	8.397	
7.5498	4.5007	
16.1083	19.0655	
9.7459	21.2014	
15.2923	25.5929	
10.4947	32.1807	
4.2796	32.6059	
13.5796	14.0413	
6.1134	4.5818	
9.6156	3.6176	
12.7101		
7.4352		
12.8867		
5.9969		
8.175		

