mouse1c	mouse1i	mouse1j
33.0707	24.2515	19.7319
32.2866	21.7691	30.6397
44.8241	39.182	20.9559
28.571	28.1859	13.6944
35.5653	34.3394	22.3919
26.9088	31.0439	27.8538
65.6341	17.8624	45.0434
33.7846	18.972	10.8147
33.0324	31.0672	24.3627
36.7046	22.5356	21.1064
31.6877	32.1271	29.456
29.4534	55.982	30.5566
35.1751	44.8593	19.3702
37.8326	21.3924	32.5796
47.0625	28.5909	22.4852
28.7513	40.8879	18.6747
53.8711	47.2589	22.4873
42.878	59.6405	26.1093
41.2134	35.4822	32.2838
43.2086	47.3005	19.1387
30.3333	47.5053	31.5933
50.7129	37.8883	25.401
44.2873	41.2945	30.7642
34.4848	30.3584	28.1982
46.8052	28.143	30.6271
55.3898	42.3978	21.8424
25.8008	35.7749	25.3301
44.2323	26.5576	29.0376
29.3454	40.67	31.7598
43.6737	53.7743	45.4459
17.1571	27.9892	24.0599
31.0465	37.3068	28.09
31.6355	35.6664	33.4703
39.5634	40.1724	25.7925
37.9691	35.332	17.1482
47.0139	46.4765	13.5371
26.826	14.551	24.4191
41.5372	30.7205	21.6387
31.9818	27.4888	26.8048
34.5919	33.8352	23.2952
35.3508	34.2236	40.6563
34.4367	57.3815	18.9899
30.4799	44.6206	18.3402
46.016	25.7864	49.6576
31.4412	54.7117	17.5892
32.2682	26.1084	23.8227
28.9487	14.4528	47.34
45.3207	23.1929	19.6171
58.2837	52.0412	14.79
50.1347	56.8316	23.5367
27.1695	37.0552	23.1256
44.3725	31.9908	28.7491
33.3378	60.9728	21.0593
25.8276	27.4443	27.7943
30.7594	49.8502	27.603
29.9399	31.0784	37.9216
32.222	33.8192	36.5112
38.298	43.8408	22.4391
48.9537	41.6924	16.3835
48.5783	27.4684	30.1197
32.2174	53.7722	31.4506
55.1875	34.1233	24.2332
32.9333	57.8485	19.8997
38.628	41.7792	19.0696
35.4731	32.67	27.0494
34.1073	55.8533	24.004
33.7993	45.5206	21.5562
45.876	68.2998	15.2314
44.7931	51.6638	26.58
52.5789	67.1994	23.0186
39.6437	48.2177	48.4382
33.8993	33.6575	21.1372
29.953	59.834	36.139
43.6956	49.6538	28.5406
53.7302	34.6848	45.9642
37.5781	44.2907	30.6214
37.9363	33.5323	39.1112
37.4306	49.9305	24.7928
45.5657	46.4732	36.7897
38.4358	44.9036	23.2352
27.7416	54.6457	29.0184
49.1555	44.6169	32.6837
29.5877	39.7706	21.0252
47.9594	44.5082	31.2591
44.8887	55.0644	32.3247
16.8897	49.3947	26.0094
32.1234	27.8307	32.7308
41.5655	19.799	40.885
54.0825	18.2185	30.071
42.6772	22.4468	23.3253
43.6643	25.7703	29.1372
40.8011	34.4792	23.5348
26.4667	21.6385	33.6187
23.4646	30.3516	36.296
29.4827	12.9573	31.1449
22.5411	25.4235	37.7749
26.9318	18.7907	29.8553
38.0024	18.4034	27.3895
38.8434	19.5218	24.6482
39.8934	18.4958	25.1051
27.4688	18.7498	20.5996
43.5542	13.1182	32.2568
21.879	14.2869	19.2752
29.4016	14.0481	24.64
25.8205	39.1363	15.6255
26.7153	32.9265	16.4882
38.0263	40.0842	39.5435
25.6166	12.6224	39.3946
24.1645	21.7279	23.7849
33.9852	36.1246	37.0623
33.3573	19.6508	24.0467
24.8446	11.5998	14.9378
25.2394	45.2084	29.8941
20.3216	27.4498	19.5524
34.2518	23.8392	17.0949
38.7349	19.2977	37.9186
26.0518	21.8368	29.6761
39.7291	25.0134	33.4862
35.0732	25.9251	14.643
27.5719	23.4338	27.3193
25.4319	27.1683	19.4925
30.9177	25.4454	32.8203
24.7325	23.1556	18.0023
32.9653	26.3432	8.1891
29.4559	30.378	26.4887
31.362	13.0966	21.7541
27.8513	24.478	25.9189
32.8451	26.4084	24.0422
25.3621	19.3114	27.3893
30.6391	22.5748	35.8494
46.4272	16.0555	26.2168
43.6761	13.3814	23.0663
38.6278	22.1767	38.7884
16.7005	21.5834	36.6397
28.6002	27.7315	20.4562
27.8035	20.7699	30.1706
40.6307	14.214	23.235
30.8801	32.3468	47.3357
37.5508	20.8296	35.1768
24.3189	31.0823	17.2382
33.7892	29.1019	30.274
24.7942	34.6782	22.6334
33.4144	31.9871	27.7202
23.8319	29.016	20.5102
22.358	22.7767	39.4731
36.0334	38.1494	33.0136
32.4444	16.4256	30.2145
24.9793	21.8041	53.1258
27.1317	19.663	28.7013
37.4391	14.4002	33.0941
25.0685	17.575	39.6788
27.9579	17.0285	25.23
38.6394	20.5086	15.6663
27.0381	34.0106	26.2331
27.079	40.5224	40.2348
37.0491	21.9346	24.712
31.1567	24.9471	36.5548
27.1546	17.0587	26.1939
26.0644	40.1866	40.5681
26.4864	19.0146	29.2229
22.1127	44.3364	22.9354
30.7828	24.6066	27.3812
20.7571	24.9319	28.265
24.8696	21.5597	15.0723
34.5956	24.6343	26.6834
22.5293	32.175	34.4001
24.1423	24.133	27.8658
24.135	23.3614	33.5598
24.3158	24.275	40.9259
35.3629	27.1594	20.4267
45.5571	22.6775	30.4612
28.6181	19.0669	28.2041
30.924	31.6719	29.7194
37.7582	19.6565	32.9226
33.7334	33.3376	29.695
23.9174	22.9083	29.8576
49.4433	25.2232	17.2814
43.5168	27.0899	30.6182
39.4897	25.164	21.8356
31.0985	37.7902	26.4319
27.6079	32.1756	17.0498
35.8917	37.4531	35.2815
28.8215	20.2838	25.8523
28.5293	26.2631	28.8647
32.0094	35.1075	21.9606
40.5729	46.9546	20.0631
36.4657	42.0777	26.6221
15.6813	37.0156	35.1712
26.2312	36.1549	28.4663
30.8519	18.3002	18.5173
27.3984	24.0981	17.4437
31.7613	20.0271	36.1274
