mouse1c	mouse1j	mouse1i
14.2091	4.0344	
15.9294	3.9835	
12.0231	4.1111	
7.6344	3.7949	
6.1309	3.3865	
7.8812	4.2049	
3.7853	4.0089	
14.4996	4.186	
4.2548	3.4519	
21.985	3.633	
15.4453	3.9006	
16.5402	3.6543	
8.5546	3.9892	
4.2906	3.6074	
16.3647	3.693	
9.886	3.3131	
14.0651	3.5481	
10.2923	4.2126	
27.5005	3.9813	
12.3161	4.1925	
10.4504	4.174	
7.6532	4.2165	
17.5058	3.5837	
12.7904	3.4398	
11.8945	3.3733	
7.1822	4.8386	
14.0824	4.9586	
9.3798	3.8356	
5.0692	3.6098	
12.2143	3.8112	
10.5102	3.8242	
9.4096	3.5448	
8.1491	3.5965	
14.7967	4.2646	
16.265	3.5278	
11.4712	4.2295	
10.7798	3.9663	
15.9177	3.709	
16.1777	4	
17.2671	3.6676	
10.0374	3.8466	
10.3987	4.0967	
8.9463	4.406	
10.5831	3.4959	
10.7349	3.7159	
8.5202	3.9961	
9.0796	4.2166	
7.3387	3.9087	
7.3686	3.9594	
6.5681	3.9112	
8.5391	3.9307	
6.0111	5.01	
7.3307	4.3529	
5.5657	4.0716	
5.8478	4.0185	
4.9639	3.9362	
5.5748	4.0649	
5.8696	4.2969	
7.5338	4.6267	
9.4599	4.5659	
8.4102	4.4016	
8.5907	4.0421	
9.7865	4.4336	
9.8757	4.4443	
10.8103	3.9273	
9.9605	3.9085	
3.9859	4.3834	
10.2873	4.1359	
	4.1895	
	4.3728	
	3.9315	
	4.777	
	4.3784	
	4.3082	
	4.0538	
	4.2197	
	4.0595	
	3.8881	
	3.8942	
	2.6709	
	3.2895	
	4.3185	
	4.2835	
	4.9406	
	3.5975	
	3.2017	
	3.9331	
	6.0066	
	4.2429	
	5.9077	
	4.0947	
	7.0383	
	4.0402	
	4.6324	
	6.3164	
	7.9724	
	3.5674	
	5.1273	
	6.8291	
	4.3017	
	3.5007	
	3.5962	
	9.2736	
	3.2458	
	6.3647	
	4.0658	
	7.9079	
	5.3689	
	4.3775	
	4.0827	
	5.1951	
	6.9429	
	6.0562	
	4.7602	
	3.9562	
	3.6815	
	3.589	
	3.8024	
	3.5351	
	4.0203	
	4.7917	
	3.5973	
	4.0822	

