mouse6e	mouse6g	mouse1a
6.71	7.7109	7.7873
8.3508	5.3107	13.918
11.274	3.4276	4.4784
6.2652	4.7815	8.082
7.3753	4.0318	6.5409
8.6542	6.0465	5.2079
10.2956	4.5854	4.2378
18.3739	5.5949	4.6167
5.1498	3.0615	6.4853
9.839	3.3619	5.2739
3.6403	7.5622	6.4536
2.6927	2.5559	8.9365
4.2924	5.4467	7.3243
4.8822	5.1469	5.9098
3.8389	5.2892	9.8811
4.8119	4.0523	6.0828
8.6611	3.8552	6.7915
8.0561	4.5115	8.4107
5.8744	5.4017	14.0529
10.3706	4.5499	3.982
9.1685	4.9276	7.0707
11.7874	5.1387	3.2188
12.4872	2.772	9.9472
9.6013	3.4413	4.5485
5.3206	3.7386	4.477
8.726	3.5194	7.0886
4.9927	3.1179	7.38
8.7468	3.5241	6.6345
8.3955	6.1906	4.4251
3.9893	14.4407	4.3869
6.5191	5.0514	7.9512
2.6122	3.9431	9.1736
4.7147	2.764	3.8369
3.5358	6.0976	10.1552
3.7195	3.7719	7.6041
5.5991	2.2911	7.447
4.6677	9.6395	6.7466
4.9212	4.9079	7.536
6.9615	4.6342	7.4354
6.4397	2.7418	10.377
7.1978	3.6118	15.6837
2.7234	4.6196	4.5846
4.6496	2.4895	7.4893
6.528	7.2679	4.7447
7.9112	4.2472	8.2199
9.112	5.8344	5.896
2.8241	1.3005	4.1948
4.9068	3.2624	5.4397
2.4884	2.7229	6.3385
2.1322	6.9295	7.661
11.0591	4.2616	4.5283
3.8832	2.5676	6.2377
5.7043	6.7048	4.0022
5.8341	2.8012	6.6674
7.4155	2.314	14.0867
7.2945	6.5259	5.1352
3.8027	4.7681	8.426
6.5367	9.5208	5.9217
1.729	5.0065	3.8067
12.7213	4.2118	5.505
6.3787	4.0709	5.8466
4.8594	5.3586	3.706
9.8184	3.6074	5.0967
8.7785	6.0731	9.9309
4.6634	3.4767	3.3061
4.8777	3.3014	6.2602
3.0098	5.1908	5.5565
5.5243	4.4422	7.6152
2.5132	3.1631	4.0585
4.7165	3.0804	3.1734
3.8651	11.7006	8.2707
4.1227	2.8208	5.5701
3.8788	0.4415	4.8269
4.2677	2.7694	6.6456
4.4379	4.043	5.0236
5.2019	5.8368	12.4984
2.4723	6.636	4.7716
2.7102	4.6221	4.5948
3.8969	6.5259	6.9555
2.7782	10.9418	8.0122
10.463	1.1223	4.5861
1.3588	4.7684	3.3011
2.132	2.7014	8.1965
6.3398	4.3385	8.0903
6.3634	2.3431	4.9148
2.4042	2.8773	8.9003
1.6241	6.7051	3.0991
2.102	6.8167	5.1356
2.9784	2.7007	7.2995
4.0322	2.6492	3.8112
2.6525	3.1208	10.2169
4.4992	5.842	6.6121
3.7984	3.1078	6.0834
3.3929	1.8253	5.9565
4.979	5.4697	4.314
3.8495	2.5644	6.6624
1.6949	4.7656	4.096
1.8772	5.3934	9.4682
4.2473	3.5594	4.0648
6.474	2.1242	4.5307
8.5339	4.835	3.4003
10.376	2.6943	9.0621
1.8287	3.4449	3.7947
6.9761	3.9711	8.5683
3.3319	2.815	6.503
4.4946	2.4574	10.6763
3.7403	4.7024	7.098
8.5196	4.3205	4.341
2.2888	3.4914	8.2435
3.6341	1.7494	2.7802
5.5066	1.7718	6.4613
7.7232	0.9906	5.0578
4.8672	3.6001	8.4262
4.2653	2.1219	6.6386
1.869	2.4951	16.1021
15.9978	6.0667	7.352
8.3297	2.7135	13.2959
