mouse1d	mouse1e
2.4142	0.9222
4.4409	0.1259
2.6882	0.8514
5.4995	2.2955
1.6158	1.003
1.6811	0.1882
4.4921	0.7906
2.0842	1.7746
3.0585	0.9483
3.1627	0.6117
1.9185	1.3683
3.6587	0.5332
1.9159	0.9417
1.371	0.7346
3.4321	1.9854
1.8587	0.5783
1.3274	0.719
3.4496	0.3367
9.0411	0.8226
1.2419	0.91
2.925	1.0052
6.0314	1.0052
2.4923	4.1781
1.3429	0.9672
3.5937	1.0258
0.9279	0.7962
4.3143	0.8778
2.1294	0.5688
3.0942	4.2151
2.3275	0.8428
2.3716	0.5766
4.0487	0.9573
5.5447	2.8673
6.795	1.5148
2.0199	0.3725
5.3982	1.9104
2.9153	2.5136
4.4219	1.3708
2.4378	1.5428
2.7441	0.5967
2.1856	2.9285
3.061	3.6963
2.0092	1.8416
2.5375	2.4793
3.5122	1.0387
2.8271	2.5145
2.5284	1.0227
2.6986	1.7388
2.445	1.883
2.1628	4.3028
1.5594	0.8753
3.3331	0.422
0.5322	2.1551
0.9433	0.6736
3.7441	0.9706
0.1645	1.7651
0.6545	0.8344
0.5258	1.8781
0.5174	2.3966
6.3103	2.723
4.3098	0.8923
2.7975	0.7361
0.3592	0.7807
3.1796	3.0056
1.2604	0.2677
2.0767	0.6664
4.3288	2.2591
1.3133	0.3323
2.1991	1.9628
1.0005	1.8573
0.2822	2.8142
4.2719	1.5349
1.3935	1.7071
1.5101	1.149
1.5706	0.8327
1.7869	0.917
	0.6524
	2.1026
	3.0442
	1.69
	0.4998
	0.3309
	1.3997
	1.9568
	0.4596
	1.8706
	2.3085
	0.3054
	2.1049
	1.0066
	0.6023
	0.8239
	0.9156
	2.7859
	1.7565
	1.7783
	2.9139
	0.308
	1.2386
	1.1029
	1.7091
	1.2445
	1.0985
	1.0406
	1.7642
	2.2877
	2.7891
	2.2429
	4.5506
	3.2561
	1.7328
	1.4965
	0.6923
	1.1588
	2.6593
	2.3213
	1.825
	1.7198
	0.5325
	0.7266
	0.8365
	1.4178
	0.2195
	1.9586
	2.1723
	0.8901
	2.2395
	1.304
	1.5926
	1.4036
	0.952
	1.6052
	0.2241
	1.3723
	1.3518
	0.9017
	2.8771
	4.0238
	2.2378
	0.3333
	1.1019
	5.4074
	3.0048
	1.0392
	1.914
	0.3061
	2.4646
	0.5658
	1.4821
	3.311
	1.2226
	2.4102
	0.611
	1.9092
	0.4863
	0.3472
	1.9437
	2.0201
	1.7358
	0.7479
	1.3337
	0.901
	1.6111
	1.2656
	0.4994
	0.3642
	0.8311
	1.0418
	0.2541
	0.1119
	0.5305
	0.3167
	0.223
	1.3038
	1.4033
	0.5779
	2.32
	0.9858
	0.7809
	1.9406
	0.3995
	0.9764

