mouse6c	mouse6d	mouse1k
145.6505	83.3153	176.5406
157.5432	123.0973	173.5485
158.7189	60.8225	158.0322
135.6724	101.9286	149.9163
145.0116	117.8304	170.1718
149.2294	136.3436	183.8816
146.0839	132.3182	157.7269
118.0176	154.8407	176.0548
120.5058	116.5827	172.2845
99.8368	110.456	166.3203
161.4244	110.5262	191.9754
175.1935	129.1925	171.9583
101.977	92.1481	170.0482
113.1739	131.8664	180.324
136.7198	114.3197	177.1388
123.5994	121.8411	166.7799
159.8643	129.5157	180.0611
126.9278	142.7831	166.0112
162.4619	128.7546	186.9186
137.9523	111.0439	185.1421
166.0478	117.8782	174.29
122.8304	103.4108	175.3523
139.9815	82.4139	161.0998
141.5012	137.0735	182.6518
161.0914	133.3516	178.4265
124.2773	123.6975	160.9734
132.1867	134.3347	186.001
98.3159	106.8993	177.5125
115.4215	136.572	165.6539
133.153	124.957	169.0777
135.5082	83.7547	168.4141
137.2348	124.5496	158.4894
127.77	130.251	167.3072
129.1469	153.6031	163.0384
133.9436	119.1583	159.7497
133.9239	86.2694	186.8169
123.1924	79.232	176.3019
104.6852	105.2311	165.6078
153.2352	137.33	162.1744
126.8381	138.6414	162.9716
127.0984	138.9762	186.2385
142.5307	139.2091	158.1766
101.5926	117.0677	169.9553
97.7819	105.6071	169.1553
113.6362	122.4476	175.3288
124.5789	82.2946	168.305
165.2609	105.6974	182.1727
147.3107	72.774	155.9274
153.2292	120.7477	175.8073
126.7841	114.5846	169.3683
121.4628	127.0268	175.8485
141.3355	130.8028	177.5379
125.8999	123.1906	167.8973
134.1775	82.5852	170.3702
145.0346	124.2471	138.2193
150.2343	98.5681	165.6112
154.8905	130.5658	168.9846
124.9823	107.6948	163.8802
138.8328	85.2691	169.0914
147	157.6658	171.1628
151.0967	110.7722	175.6107
120.8199	79.8875	165.0902
99.7516	120.9941	182.4276
103.8105	112.3464	183.3951
103.3029	113.8976	169.0615
130.625	127.4061	152.0842
157.4147	103.0181	172.7218
105.4345	92.0215	177.8059
100.6956	107.3162	173.4228
98.5804	114.3366	170.567
128.597	148.2866	188.8035
161.7848	114.851	180.47
145.1468	125.4404	183.6426
175.0129	106.0499	174.7735
146.1933	86.7258	156.506
137.2278	104.6685	175.8773
140.0967	113.5997	174.6739
152.0091	90.2562	163.2098
127.3747	118.8803	169.2261
96.6596	63.5706	167.4947
129.4691	117.5705	162.7613
151.0175	115.1453	171.8075
140.6205	92.5259	160.3104
99.8513	66.5148	161.6361
144.1814	47.2769	164.8744
124.2602	140.1942	175.207
155.7575	90.0636	181.6023
152.2002	107.6209	182.1193
161.8351	95.4005	178.8078
165.4929	76.6239	161.9117
134.3854	93.223	178.541
102.4466	61.4309	185.5095
148.1644	122.8051	151.1253
131.2446	102.481	149.5009
136.2456	108.2001	152.7276
145.9782	86.2875	154.8876
121.3587	94.6015	179.9144
116.5616	116.343	191.8986
175.8727	94.3927	174.0213
94.4476	61.844	181.2187
126.8021	126.5478	164.6647
154.9079		169.6414
159.841		170.5201
173.3223		178.3174
156.1881		165.4587
154.7365		173.4886
137.6663		137.6051
121.268		151.0899
150.9158		164.517
133.7897		173.2365
119.6357		173.9122
162.4715		132.2317
161.7595		184.4494
145.7117		175.0741
164.8355		184.3296
121.3357		170.4716
119.727		154.4526
161.7695		163.4285
130.6814		156.2669
109.6023		177.6735
133.5675		156.5219
116.1286		178.0529
155.8715		180.1952
133.5573		169.2394
		192.5287
		159.8029
		179.0897
		156.2334
		158.0644
		188.2889
		172.912
		180.8546
		175.5711
		174.2191
		175.0133
		163.8332
		142.9585
		154.0365
		168.3372
		151.6099
		180.7366
		162.0233
		175.6044
		143.2936
		170.5636
		171.9788
		151.0719
		181.9535
		55.5456
		53.5416
		178.5806
		146.006
		156.8761
		174.4161
		142.1982
		166.9485
		113.8524
		184.2681
		176.3004
		155.6519
		185.8807
		165.1844
		174.9826
		184.409
		172.7029
		170.4563
		176.4931
		169.2193
		160.263
		133.3523
		169.6482
		104.6302
		154.9923
		174.931
		145.3352
		170.0213
		125.3981
		168.3576
		163.064
		157.4564
		180.2978
		167.7951
		167.3735
		135.5948
		100.4343
		155.8173
		167.5937
		165.0891
		180.815
		142.5371
		137.6178
		131.6374
		192.6489
		170.3152
		170.0374
		149.0872
		155.6505
		209.4265
		150.4741
		160.2281
		173.2316
		179.4007
		145.1905
		177.6513
		186.3932
		163.5141
		186.5835
		176.0008
		182.6065
		173.9916
		188.9064
		177.6057
		183.5768
		149.5345
		165.3267
		167.0582
		146.9324
		167.3999
		173.8245

