mouse6c	mouse6d	mouse1k
174.5823	120.2922	156.5121
170.806	143.6046	142.9184
181.7698	130.4526	151.5002
184.7389	78.7988	146.8708
182.6608	109.3008	142.477
183.1582	112.5086	152.4508
185.0488	131.8259	154.8435
179.6811	99.5433	151.6469
163.6949	128.4425	142.2969
182.2425	142.368	153.3566
194.24	136.3414	155.8464
182.5656	139.8308	144.9642
172.1976	141.6967	119.8593
183.9629	132.9206	159.4106
184.4144	111.8009	148.5647
191.1542	125.4332	144.8842
161.8781	141.0669	149.7181
170.0515	124.7705	139.4389
179.9538	84.857	156.4458
188.4776	183.0621	142.7373
169.3049	183.4879	167.7516
154.3526	170.6909	153.249
188.2692	180.0902	176.0016
164.2938	188.8983	146.7928
182.2807	140.6923	162.2839
186.5389	191.3604	138.1083
181.754	187.2567	148.1554
190.308	151.5778	166.0352
189.3698	198.5136	147.1325
142.9017	198.1919	156.546
119.4894	197.3278	162.8863
184.4109	194.9492	158.8438
186.6459	197.358	158.5304
197.7983	197.1092	157.4385
192.3147	200.3478	150.9073
188.1956	198.5945	148.0817
188.6718	200.4624	152.4599
184.1197	184.5081	159.0397
181.9433	178.5868	154.4026
190.0226	180.0173	147.6885
192.5923	171.828	152.5456
196.4125	192.1775	153.4858
167.0352	185.7906	165.4799
147.9248	185.9519	153.6534
94.9531	183.3474	126.4003
135.2724	175.1372	144.9193
183.2742	194.9009	146.4042
190.0384	203.4751	149.7539
171.3478	192.2954	140.1671
171.2757	170.7069	164.5874
140.4772	193.5538	168.9519
157.3428	173.765	145.4003
157.6296	203.5753	150.1594
159.2293	189.2553	139.0297
171.5999	199.1498	163.8927
169.0773	162.1638	155.1347
157.7225	179.3543	150.7858
160.0952	150.2596	123.0338
166.3356	181.9872	160.2723
164.4354	175.5546	145.4858
150.3049	179.0261	148.5977
165.456	187.9453	143.3352
139.0104	200.3365	150.2521
150.3516	111.5732	149.2238
118.5837	184.1818	130.8835
152.1538	186.421	138.6229
133.3669	193.3944	138.9348
142.8717	198.6626	153.9926
168.8382	134.312	134.4789
153.7373	123.0909	94.4579
161.6999	165.6566	95.9119
163.5906	186.1737	99.0945
71.6657	142.4524	69.1648
150.8231	183.1481	101.3046
159.9379	183.4083	92.9906
159.0996	185.5101	49.3823
162.9108	189.6935	91.1116
129.7866	186.063	93.5973
151.0135	145.1929	79.9658
148.3272	192.7036	103.1286
143.3221	188.4019	78.9525
156.6974	197.9828	90.6233
129.8851	187.5456	93.3048
135.8002	193.4084	74.6469
161.3079	195.1285	96.3074
143.1161	183.4924	90.0844
141.6259	163.1627	86.5305
138.596	184.7229	80.589
170.7134	192.9182	91.5299
135.8584	185.7182	86.3046
155.4961	199.7004	109.3822
136.9106	194.7126	76.0263
150.9429	196.5552	155.6018
163.286	156.3763	96.3667
160.7452	180.1062	102.3204
162.3374	197.3485	148.9663
143.001	200.6802	85.4043
161.1536	157.2144	126.9257
169.14	193.1715	52.56
133.0326	197.864	91.7125
155.0548	195.131	54.4795
151.9723	179.3849	91.0157
157.8763	205.9336	70.6568
143.6161	190.7129	123.4286
147.502	193.1055	103.4034
156.7176	191.2506	87.2504
155.4162	182.4564	84.2064
151.6879	191.3411	87.7923
156.3853	186.7949	118.4289
162.8666	109.1592	49.4703
141.3851	147.1655	111.7298
160.4828	189.4078	57.6741
142.7029	197.0645	56.1654
159.5849	199.1052	82.4508
154.7854	170.3962	78.7799
154.3624	190.5464	69.3505
156.4715	189.7371	83.9024
157.404	192.2421	99.4992
158.0432	190.4332	76.5447
166.341	195.0724	128.6254
152.7121	183.1393	94.1558
148.6119	176.6481	103.6684
157.8408	188.8109	85.9778
156.2481	180.7675	76.9993
164.239	184.2195	66.4668
165.3504	189.2959	89.4513
154.8676	176.9271	89.7893
158.0251	189.0157	62.0481
162.2435	175.6504	38.3087
107.3011	184.4735	104.0942
134.3033	200.1996	73.4195
157.9858	197.402	98.2141
149.6564	190.413	92.7694
156.7306	128.7994	105.5164
166.0262	177.3051	95.2657
147.9041	197.8841	94.1149
138.4301	188.8175	94.8438
160.319	198.8525	101.8132
153.3687	191.0112	127.7376
147.3651	190.1747	58.5612
154.6045	194.2381	51.9136
152.9316	199.5828	96.0843
159.538	191.8971	82.5957
155.2839	194.5831	97.6415
166.6469	183.9799	124.0765
152.7369	183.1896	95.6952
140.6395	194.7267	112.831
161.2392	191.0034	102.7603
146.721	196.9994	77.1655
148.7237	197.1582	77.4775
167.3898	188.8647	59.9388
166.4323	182.5445	85.9617
160.6867	190.7533	122.7145
143.9042	193.8338	147.4671
154.2731	185.4686	79.3133
151.1363	201.427	105.8597
152.6618	189.7536	102.6294
168.7663	200.8009	93.1324
152.0915	199.3881	91.9921
162.6223	186.1736	77.488
158.2628	198.397	45.6061
162.8342	192.3138	94.1529
106.5646	193.3748	63.1956
154.3894	193.2454	69.2051
145.5113	180.5276	90.9467
157.7373	185.0178	94.7175
141.045	185.8283	111.1008
146.7588	194.1206	137.1702
103.0607	196.0835	90.294
141.1759	189.3419	100.7325
100.1471	190.574	110.7973
151.7543	185.7589	82.7662
145.655	194.0576	62.0687
148.1078	186.2609	79.7119
133.9263	197.16	47.9942
162.5568	160.991	101.1933
124.5356	186.269	67.7481
153.6064	191.4362	87.6564
97.0833	186.9649	74.5783
155.2017	196.2578	87.5824
157.6983	192.1441	130.5349
146.1324	179.3971	157.1746
153.6843	163.8156	150.8533
153.0479	187.7503	154.1712
166.0242	171.5676	85.2745
166.6616	195.0185	123.2892
135.0264	191.1739	134.4035
141.0655	188.963	157.3329
161.5265	194.9533	166.5976
171.5741	189.6553	106.0046
146.1494	185.2806	146.2188
159.5353	191.3935	133.9648
169.2407	180.2771	151.7791
156.8744	186.3836	112.746
161.7901	187.4172	105.6128
164.3155	191.7251	148.375
160.7352	194.1783	127.5028
132.6036	190.4041	142.3391
163.2457	187.9136	166.4446
158.0569	197.9992	142.5159
154.7513	174.0429	145.0479
148.9994	186.34	151.3638
157.4175	195.5982	101.0977
102.6023	194.3309	135.8647
137.8879	183.242	117.8133
145.9892	192.7776	114.0782
123.4742	189.7907	157.7128
131.5818	204.5315	89.1569
152.2158	195.0752	157.3197
137.0124	191.9385	176.0661
149.1524	189.9693	161.0971
134.3681	188.7429	97.5058
128.2946	167.0917	147.6424
133.1876	187.8813	161.3125
138.7219	196.8057	163.4311
103.0797	162.9913	158.1578
151.1133	197.7036	151.0269
139.302	143.2361	158.1276
132.8899	192.2699	168.9824
143.0277	179.6761	165.3337
142.7347	179.3642	102.6403
138.6282	180.1934	167.5779
145.6535	185.9491	120.6981
144.398	199.4709	153.0617
77.0537	176.0697	147.9769
148.9872	180.1891	154.232
139.531	176.3421	150.2517
124.1404	193.1278	140.2834
136.1323	199.1725	123.0522
136.7225	194.1973	135.0204
137.7901	199.1038	137.2103
153.9145	201.1765	150.708
147.5609	194.3579	187.9407
131.2143	150.3468	175.5051
156.8533	147.256	180.4883
128.9192	150.1145	191.6751
145.0925	153.824	180.6511
138.9955	168.9247	183.9827
118.8711	157.379	174.6795
138.9088	149.4433	186.1751
139.9887	144.462	187.9639
129.7752	117.6318	200.5322
132.4057	147.6639	191.8482
131.8767	152.495	116.4342
138.6067	114.1111	181.4606
135.2261	140.9796	158.3335
157.2632	144.6577	185.4106
131.8455	138.9571	178.0475
135.6172	67.5052	165.1456
130.561	146.0776	186.6746
123.7476	156.5163	172.2889
102.1938	153.9048	179.7663
128.9777	135.3459	174.6909
113.7153	148.2639	193.1445
159.0438	83.52	179.84
143.1164	144.4056	161.2557
133.1608	154.5899	173.0055
145.8137	133.6542	184.592
97.2036	148.4115	192.4458
116.818	170.8981	167.1081
130.8872	150.6905	163.8147
136.1824	145.0235	160.3752
139.7324	145.0346	179.4009
155.1209	157.7879	190.5926
124.3005	137.9095	170.7823
138.8805	129.5482	94.6771
141.8713	136.0962	188.607
145.7996	123.2956	167.5968
140.1277	123.3393	168.8971
125.8162	146.9568	192.891
121.4563	126.6397	173.8213
99.4122	144.9243	185.8532
117.4101	122.9474	168.3958
118.2141	130.6462	177.7235
