mouse1d	mouse1e	mouse1f
2.0115	1.3206	0.2399
2.2953	3.5944	2.0169
5.2464	3.4979	2.4633
4.2154	4.0463	3.2313
4.4419	0.7894	0.9049
2.5038	3.9341	1.3394
12.0178	1.2639	2.7858
3.525	4.5346	1.7532
5.5115	4.267	1.4989
2.914	1.9602	1.76
13.0497	6.2459	2.36
9.9227	0.6147	1.3551
3.1267	1.0928	1.8198
11.8123	0.7168	1.2742
10.9249	0.9843	3.6833
2.2714	3.5247	1.5572
8.654	3.7004	2.3348
10.477	0.6958	
2.9026	1.4183	
3.2764	4.9632	
8.2122	2.5019	
1.933	0.2221	
5.7254	4.9767	
2.5353	13.1804	
11.2502	6.0305	
2.7773	1.7714	
8.4372	10.1037	
6.63	0.148	
3.6486	2.9289	
3.8032	1.4542	
5.4022	0.1087	
11.9906	2.5858	
3.8063	3.1866	
8.8746	4.1404	
2.9897	5.7096	
10.6998	4.3526	
7.0471	2.2158	
2.17	7.774	
10.3261	1.6433	
6.9644	0.2744	
14.9922	5.7919	
1.9414	0.5664	
9.9619	5.6326	
2.9528	0.2595	
7.4349	4.9964	
3.8693	0.438	
4.7412	2.6155	
7.1342	4.8344	
2.2244	1.4415	
5.201	4.3126	
3.2661	2.6796	
6.1753	1.5794	
11.2612	4.5114	
5.5285	1.8217	
6.8858	4.9156	
5.4156	1.6196	
2.6432	0.2219	
1.5266	4.5035	
7.3239	5.4319	
9.5353	2.3379	
1.6336	7.2823	
11.1991	4.3155	
9.0695	3.1272	
1.7093	1.5769	
2.2598	0.8165	
7.866	2.3448	
3.5981	2.2091	
8.9394	2.0025	
6.0789	0.8985	
3.2725	3.5507	
8.0353	1.7701	
2.0537	4.6715	
6.5463	3.5924	
2.9805	3.1646	
5.9268	1.7274	
6.4403	4.4923	
1.3167	2.9322	
2.6432	0.2225	
5.3254	2.4207	
3.0811	4.6257	
10.7208	4.7171	
2.9029	3.6443	
9.7749	2.8684	
1.7602	4.0833	
3.6739	2.3091	
8.4853	7.0394	
3.7088	4.3299	
2.948	6.5632	
