mouse6c	mouse6d	mouse1k
189.023	168.4225	139.4242
167.3967	180.3703	133.9161
177.7938	171.8365	154.633
163.111	168.2637	150.9784
136.9691	178.2553	152.111
166.7593	160.8007	121.8402
154.373	175.9935	145.7711
178.7515	170.3554	140.0152
175.6868	176.7844	118.8838
177.4688	165.8244	141.1957
187.8128	153.5047	139.1223
170.0709	172.4558	119.258
170.1372	165.0311	118.4994
184.5277	177.794	93.9579
111.6883	172.7402	73.3996
186.4406	161.3994	136.4995
161.0972	163.7105	131.776
162.9232	174.65	131.0241
174.7649	172.835	141.5935
164.0077	164.0253	109.5391
163.2856	161.065	149.7707
167.3784	170.8162	148.1642
175.5408	151.8999	156.8754
173.0884	163.1193	94.6427
166.815	149.5291	153.2454
178.7622	148.4556	124.6639
169.4104	164.3635	111.0608
166.2118	173.7964	147.915
163.4503	182.937	141.2101
173.676	169.7303	141.5963
145.906	148.5742	131.2131
138.1163	140.272	137.8792
119.9631	139.2782	117.3053
180.9544	151.0879	130.6788
184.4854	156.6531	99.7034
179.1901	150.8768	142.6268
189.6351	174.8967	123.6692
170.0121	170.4626	120.3768
168.5204	168.9269	126.932
183.4162	169.6942	116.1321
174.3718	164.4008	141.1858
177.7815	170.4491	122.7291
161.2544	116.3567	131.3256
151.2948	161.2176	112.2172
182.9329	161.564	142.1234
171.6483	172.8069	142.6509
182.4083	173.6742	153.0776
179.479	170.1783	125.1801
158.4053	171.8451	105.9271
188.6163	168.0987	99.8247
173.4027	180.6613	128.0352
179.3768	183.0012	125.8899
139.6913	180.7393	121.2781
188.4694	188.3778	117.7371
180.681	179.7129	134.2307
165.415	177.4774	135.542
169.757	164.8293	92.111
171.8189	174.3099	106.216
184.5827	188.3626	133.4189
158.884	166.8843	142.2039
177.903	131.6321	119.1889
149.7056	136.8138	142.521
178.0476	175.8484	126.6507
183.7112	172.0837	88.032
167.7703	180.2974	171.4892
181.1721	179.082	155.8478
183.5323	160.2447	136.5074
147.3834	140.4245	81.1096
180.9777	156.3871	151.3459
158.2099	161.1836	138.8729
178.6122	161.5958	125.3327
168.9106	147.6803	156.6986
182.7731	174.6244	146.5271
181.3935	187.3943	144.7318
190.3556	169.5806	150.2941
171.3733	151.2999	151.3177
170.8393	165.9807	132.8576
171.9883	166.4891	131.2472
161.4998	163.2275	138.8854
185.5601	142.8206	120.2138
179.3717	173.8299	161.4257
150.1048	147.8193	126.424
173.2137	161.1708	125.079
181.5329	178.3911	137.0385
118.8371	170.8919	144.2882
177.1494	173.0853	142.7403
162.3721	134.92	139.717
164.9226	156.1074	158.7113
126.5483	161.5785	122.5269
187.0246	181.0735	105.2388
143.2404	167.927	132.642
177.298	178.4146	138.7254
176.4663	175.6346	140.4006
187.7068	182.0316	161.3621
180.2895	161.3792	147.1542
142.104	181.2453	145.9702
170.3762	171.7347	122.5532
178.2778	145.983	126.472
162.4865	165.2289	132.3425
120.2901	160.823	126.2778
169.0217	169.9111	155.422
187.6209	145.0398	145.108
169.9648	112.1327	140.8665
122.799	149.988	135.5149
158.2925	158.1192	156.1538
182.8934	171.181	148.6471
153.984	132.9225	131.5956
152.5022	180.8702	133.9868
154.2954	164.7013	113.9702
168.1939	164.9059	145.5093
166.3449	162.4087	143.8583
155.7796	179.0273	137.6989
160.1323	150.5887	134.5306
170.1462	175.6329	134.6099
165.1167	169.3273	136.6298
120.5662	173.7381	116.6167
154.3428	170.6186	137.4989
151.9336	180.9417	133.9392
138.4244	160.2747	134.6315
103.2461	168.7214	163.6051
152.6396	128.0424	143.2487
166.7018	179.6286	163.3829
170.7157	176.2269	142.0586
148.942	179.746	130.8782
176.0879	140.7482	150.8998
