eso18mouse1d	eso18mouse1e	ear18mouse1d	ear18mouse1e	ear18mouse1f	paw18mouse1d	paw18mouse1e	paw18mouse1f	backkm2421mouse1	backkm2421mouse0	backkm2421mouse7	backkm2421mouse6	is18mouse1e	is18mouse1f	sca18mouse1e	sca18mouse1f
1.2894	0.6771	2.7615	8.6369	64.068	3.7648	3.9683	1.3078	3874.469474	545.5098684	1586.895161	2185.319975	13.2704	4.6166	20.7371	4.6251
1.4615	0.3341	3.7042	10.0026	21.3107	0.686	3.2946	1.646	1511.204733	555.1854975	713.8327904	2974.054706	10.1154	0.3478	24.9582	1.113
0.07116	0.2615	1.311	25.1737	4.5426	1.2739	4.0844	3.5441	3237.792384	515.9964053	2652.272069	3075.173611	15.7249	5.2434	22.8734	1.7734
0.9573	0.2559	1.5845	12.3236	9.1678	3.3159	0.9726	2.7884	2166.306563	960.1785714	1892.798957	2027.18114	9.7103	1.4204	19.5825	8.5163
0.04519	0.1639	2.8016	16.2013	14.7292	1.2995	6.6466	3.1427	2066.690058	1146.702672	1917.4872	2915.978212	16.7662	4.4652	19.9359	3.1407
1.6722	0.1561	3.4694	9.663	8.8644	4.0507	3.6858	4.1545	1031.772504	1667.919075	1054.065545	1701.695253	30.5714	0.8791	22.3169	2.4898
1.9068	1.238	3.9722	9.2527	12.4901	0.3512	1.6719	4.1804	1249.479554	789.0587289	1298.067776	662.8384518	18.3692	6.8171	19.6701	3.4082
3.9581	0.3421	1.4429	5.852	7.804	3.3855	4.3048	7.5872	6848.603675	1400.753138	709.1726251	1514.616293	27.8336	1.9298	18.1342	4.6496
0.2467	0.3903	1.5371	26.4409	8.8296	0.4718	1.2044	1.7017	4490.38674	1973.970561	2429.496899	2728.027123	36.3326	2.1508	21.4127	1.8921
1.726	0.2835	2.3141	7.6911	7.9429	3.2347	1.6466	3.7655	2741.388569	1880.15578	3717.28526	2603.825011	15.6322	5.1413	19.1283	2.2872
0.06415	0.3589	1.6452	10.6843	7.5577	2.2707	2.807	2.4275	1341.082126	3367.965464	1730.567316	2501.400813	13.9565	0.7607	19.6264	1.5891
3.1217	1.4178	1.5034	13.5822	7.0947	2.9357	1.4968	4.8601	1690.363162	2312.716127	2028.912363	1648.568182	15.691	5.4756	20.6728	2.6981
0.2655	0.2664	1.7899	9.2378	9.1718	2.7556	4.6286	3.4206	1701.513802	2899.040411	1582.676444	786.4296892	30.4705	2.1042	22.1635	2.2915
0.1584	0.2577	1.1738	10.2733	8.3623	2.9847	2.2394	5.3213	2480.330257	3050.860633	1538.02682	931.1293984	24.3079	0.6883	19.2031	5.5084
0.06911	0.3312	1.2066	8.2824	7.1263	0.6372	1.7543	1.3835	2514.48772	2823.317647	774.0627857	707.8538103	15.3825	1.1671	19.6267	4.2439
